n,cell,spec,gcomp,ipw,aipw,tmle,tmle (concrete)
250,C1,Q✓ π✓ G✓,,0.9540000000000001,0.9386666666666666,0.9273333333333333,0.9797297297297298
250,C2,Q✓ π✓ G✗,,0.96,0.934,0.9359999999999999,0.9862068965517241
250,C3,Q✓ π✗ G✓,,0.9173333333333332,0.9193333333333333,0.9086666666666666,0.9664429530201343
250,C4,Q✓ π✗ G✗,,0.9093333333333334,0.9333333333333332,0.9293333333333335,0.966183574879227
250,C5,Q✗ π✓ G✓,,0.9500000000000001,0.9266666666666667,0.924,0.9425287356321839
250,C6,Q✗ π✓ G✗,,0.9446666666666667,0.9233333333333333,0.9293333333333335,0.9084507042253521
250,C7,Q✗ π✗ G✓,,0.9066666666666667,0.9166666666666666,0.9126666666666666,0.9054054054054054
250,C8,Q✗ π✗ G✗,,0.8746666666666667,0.91,0.9093333333333334,0.8967136150234741
500,C1,Q✓ π✓ G✓,,0.9586666666666667,0.9326666666666666,0.928,0.98
500,C2,Q✓ π✓ G✗,,0.96,0.932,0.9293333333333335,0.9703196347031963
500,C3,Q✓ π✗ G✓,,0.8686666666666666,0.9279999999999999,0.9226666666666666,0.9533333333333333
500,C4,Q✓ π✗ G✗,,0.842,0.9193333333333333,0.9153333333333333,0.9481981981981983
500,C5,Q✗ π✓ G✓,,0.9659999999999999,0.9366666666666666,0.934,0.9105145413870246
500,C6,Q✗ π✓ G✗,,0.9473333333333332,0.932,0.9253333333333335,0.9295774647887324
500,C7,Q✗ π✗ G✓,,0.8613333333333334,0.916,0.9193333333333333,0.8755555555555555
500,C8,Q✗ π✗ G✗,,0.8573333333333334,0.92,0.9253333333333332,0.8642857142857143
1000,C1,Q✓ π✓ G✓,,0.9746666666666667,0.9606666666666666,0.9620000000000001,0.9933333333333333
1000,C2,Q✓ π✓ G✗,,0.9653333333333333,0.9433333333333334,0.9413333333333332,0.9954954954954954
1000,C3,Q✓ π✗ G✓,,0.7973333333333333,0.928,0.924,0.9577777777777777
1000,C4,Q✓ π✗ G✗,,0.7533333333333333,0.9206666666666666,0.9146666666666666,0.930648769574944
1000,C5,Q✗ π✓ G✓,,0.9653333333333333,0.944,0.9453333333333332,0.8844444444444445
1000,C6,Q✗ π✓ G✗,,0.9613333333333333,0.9359999999999999,0.9359999999999999,0.8250591016548463
1000,C7,Q✗ π✗ G✓,,0.786,0.914,0.92,0.8066666666666666
1000,C8,Q✗ π✗ G✗,,0.7000000000000001,0.8746666666666667,0.8806666666666666,0.7287356321839079
