cell,spec,n,estimator,target_time,truth,bias,bias_mc_se,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,ci_width,n_used
C1,Q✓ π✓ G✓,250,aipw,0.513946,-0.09886684941881166,0.0018155065622780606,0.0020914433378612677,0.04676609474546855,0.043518322001046245,0.9305528340115036,0.046754567120061444,0.938,0.010784804124322337,0.17058868757933537,500.0
C1,Q✓ π✓ G✓,250,aipw,1.149562,-0.17473091250511089,0.001595748840332493,0.0024946664484987715,0.05578243760031232,0.0555156399491152,0.9952171747475657,0.05574946993743433,0.934,0.01110351295761841,0.21761730975791768,500.0
C1,Q✓ π✓ G✓,250,aipw,2.66982,-0.25736161330036356,0.0020921704282939263,0.0030256662449502526,0.06765595400935295,0.06576240529838741,0.9720120906032339,0.06762063763224122,0.944,0.010282412168358165,0.2577838918431307,500.0
C1,Q✓ π✓ G✓,250,gcomp,0.513946,-0.09886684941881166,-0.00029600326288959646,0.0014600905600432375,0.032648617455624175,,,0.03261729564589624,,,,500.0
C1,Q✓ π✓ G✓,250,gcomp,1.149562,-0.17473091250511089,-0.0005457927983204198,0.0019433699707059062,0.043455073599301806,,,0.04341502763394715,,,,500.0
C1,Q✓ π✓ G✓,250,gcomp,2.66982,-0.25736161330036356,-0.000346422998101469,0.0023259291505663264,0.05200935691514649,,,0.05195847639420594,,,,500.0
C1,Q✓ π✓ G✓,250,ipw,0.513946,-0.09886684941881166,0.0014775658454160951,0.002207285043114042,0.04935639402121552,0.04821187578218103,0.976811145511511,0.049329146803319686,0.934,0.01110351295761841,0.18898708032038736,500.0
C1,Q✓ π✓ G✓,250,ipw,1.149562,-0.17473091250511089,0.0006596038337364304,0.002729109673894805,0.06102474748881068,0.06740254333395382,1.104511630241691,0.06096726042457901,0.952,0.009559916317625384,0.2642131148018996,500.0
C1,Q✓ π✓ G✓,250,ipw,2.66982,-0.25736161330036356,0.0010684989302868408,0.003264690681655352,0.07300070289691493,0.08856706193785822,1.2132357418931254,0.07293549278753644,0.976,0.006844559883586383,0.34717650322946075,500.0
C1,Q✓ π✓ G✓,250,tmle,0.513946,-0.09886684941881166,0.0019582763363635565,0.0019352335692433896,0.04327313813167766,0.04187033797897361,0.9675826572032884,0.04327417475822375,0.922,0.01199299795714149,0.16412870891861572,500.0
C1,Q✓ π✓ G✓,250,tmle,1.149562,-0.17473091250511089,0.0017511668937092973,0.0024344770686408157,0.05443656215145286,0.05374435727272052,0.9872841918854741,0.054410285845241387,0.932,0.01125841907196565,0.21067400925357108,500.0
C1,Q✓ π✓ G✓,250,tmle,2.66982,-0.25736161330036356,0.0028617813156479764,0.0029941308113489674,0.0669508002770289,0.06330892838924743,0.945603758689782,0.06694501199281196,0.928,0.0115599307956406,0.24816643908550065,500.0
C1,Q✓ π✓ G✓,250,tmle (concrete),0.513946,-0.09886684941881166,0.000402561129025554,0.0029066321610610253,0.035360706397323485,0.042056275423462366,1.1893505449496813,0.03524334124144024,0.9864864864864865,0.009490713265293112,0.164857571608142,148.0
C1,Q✓ π✓ G✓,250,tmle (concrete),1.149562,-0.17473091250511089,0.0034626499933112314,0.0038664117212897837,0.04703692868993468,0.05371240114154612,1.1419198199698763,0.047005462086438965,0.9797297297297297,0.011583826800071612,0.21054874518197864,148.0
C1,Q✓ π✓ G✓,250,tmle (concrete),2.66982,-0.25736161330036356,0.008319862478202699,0.004570706723837863,0.05560504719348617,0.06341543369469838,1.140461826676179,0.0560379338046175,0.972972972972973,0.013329647619353282,0.24858393417199157,148.0
C2,Q✓ π✓ G✗,250,aipw,0.513946,-0.09886684941881166,0.0002942693646441256,0.0019052411965049712,0.042602488289181506,0.042850159792161675,1.0058135454741282,0.04256088179152255,0.932,0.01125841907196565,0.16796953984884644,500.0
C2,Q✓ π✓ G✗,250,aipw,1.149562,-0.17473091250511089,-0.0018144593279589953,0.0024919182417812522,0.05572098582994637,0.0545685922334052,0.9793184994957171,0.05569480108583008,0.936,0.01094568408095172,0.21390495092905262,500.0
C2,Q✓ π✓ G✗,250,aipw,2.66982,-0.25736161330036356,-0.006934144821994629,0.0029719307471939432,0.066454391751474,0.06413610978843409,0.965114691415583,0.0667490537393951,0.934,0.01110351295761841,0.2514089305876753,500.0
C2,Q✓ π✓ G✗,250,gcomp,0.513946,-0.09886684941881166,-0.0009755236014780705,0.0013415160973751783,0.02999721186641126,,,0.029983073568530104,,,,500.0
C2,Q✓ π✓ G✗,250,gcomp,1.149562,-0.17473091250511089,-0.0025156793696462275,0.001927236266665239,0.04309431300966387,,,0.04312463584586192,,,,500.0
C2,Q✓ π✓ G✗,250,gcomp,2.66982,-0.25736161330036356,-0.00215861698781678,0.002364838571541004,0.052879398017791845,,,0.052870576888801694,,,,500.0
C2,Q✓ π✓ G✗,250,ipw,0.513946,-0.09886684941881166,0.0014630184134418855,0.0019576805314683913,0.0437750674659124,0.04734945216392547,1.0816534366462471,0.04375573609779593,0.942,0.010453324829928518,0.18560644185799208,500.0
C2,Q✓ π✓ G✗,250,ipw,1.149562,-0.17473091250511089,0.0026952778620494343,0.0026030900618117035,0.058206863297650985,0.06589622529636217,1.1321040434594507,0.05821105891353618,0.964,0.008331146379700699,0.25830845659601426,500.0
C2,Q✓ π✓ G✗,250,ipw,2.66982,-0.25736161330036356,0.006999026823260486,0.003290941222915653,0.07358768284395689,0.08574078093391925,1.1651512538549837,0.07384648365821368,0.974,0.007116740827092135,0.33609768527364053,500.0
C2,Q✓ π✓ G✗,250,tmle,0.513946,-0.09886684941881166,-0.000505433531201136,0.0017914664068354898,0.04005840665091449,0.04150849489328242,1.0361993489907027,0.040021519893398264,0.94,0.010620734437881408,0.16271031008659662,500.0
C2,Q✓ π✓ G✗,250,tmle,1.149562,-0.17473091250511089,-0.0028005581276055935,0.002361949650759333,0.052814799785297566,0.052845687278119564,1.000584826468103,0.05283623184931381,0.938,0.010784804124322337,0.20715128760676174,500.0
C2,Q✓ π✓ G✗,250,tmle,2.66982,-0.25736161330036356,-0.004614407764461582,0.002807918793027087,0.06278697296507729,0.061674962481815504,0.9822891528170932,0.06289365886308282,0.93,0.011410521460476728,0.24176141042443486,500.0
C2,Q✓ π✓ G✗,250,tmle (concrete),0.513946,-0.09886684941881166,0.00014658047042182275,0.0026680855552779956,0.03212800455818954,0.04129943277988444,1.2854652303439453,0.03201736219920489,0.9793103448275862,0.011820961318414477,0.16189080293798688,145.0
C2,Q✓ π✓ G✗,250,tmle (concrete),1.149562,-0.17473091250511089,0.0012358661035579348,0.0038000956098143512,0.045759210694032895,0.052267742285732645,1.1422343500463499,0.04561789124590359,0.993103448275862,0.006872729367206073,0.2048857864826274,145.0
C2,Q✓ π✓ G✗,250,tmle (concrete),2.66982,-0.25736161330036356,0.00583773372791703,0.004391942368680972,0.05288598941707699,0.060668376955135564,1.1471540501338455,0.05302563393238618,0.9862068965517241,0.009685699998038718,0.2378156695409907,145.0
C3,Q✓ π✗ G✓,250,aipw,0.513946,-0.09886684941881166,-0.002921521248671155,0.001860316490851234,0.04159794133207225,0.036549735714393225,0.8786428977967996,0.04165889139219656,0.912,0.012669333052690657,0.14327233128933614,500.0
C3,Q✓ π✗ G✓,250,aipw,1.149562,-0.17473091250511089,-0.003611327110960603,0.0024169656932290736,0.054044995893451124,0.04763275217335604,0.8813536088940274,0.05411156569037031,0.918,0.012269963325128561,0.18671695748859962,500.0
C3,Q✓ π✗ G✓,250,aipw,2.66982,-0.25736161330036356,-0.00300166429804829,0.002865567009471237,0.0640760262725847,0.05835196452739027,0.9106676540638803,0.06408225696054543,0.928,0.0115599307956406,0.22873549780168745,500.0
C3,Q✓ π✗ G✓,250,gcomp,0.513946,-0.09886684941881166,-0.003823241474334855,0.0014383379624004742,0.032162214585459974,,,0.032356705739586135,,,,500.0
C3,Q✓ π✗ G✓,250,gcomp,1.149562,-0.17473091250511089,-0.0036027456920273942,0.0020353822259359883,0.04551253017387705,,,0.04560950995728671,,,,500.0
C3,Q✓ π✗ G✓,250,gcomp,2.66982,-0.25736161330036356,-0.0025790315982594427,0.0024436934044811598,0.05464264568587762,,,0.05464886544185594,,,,500.0
C3,Q✓ π✗ G✓,250,ipw,0.513946,-0.09886684941881166,0.021178903388824347,0.0017048034978511875,0.03812056509474672,0.03921631227837844,1.0287442534209106,0.043575418264540984,0.896,0.013651666564928987,0.1537251193441953,500.0
C3,Q✓ π✗ G✓,250,ipw,1.149562,-0.17473091250511089,0.032117912683920065,0.002289411920956631,0.051192806837574024,0.05459022944936106,1.0663652341346797,0.060390581882751065,0.898,0.013534843922262271,0.21398976725705102,500.0
C3,Q✓ π✗ G✓,250,ipw,2.66982,-0.25736161330036356,0.03250755587317217,0.002786495173506647,0.06230792626935934,0.0721092427036983,1.157304487906844,0.07022289021026801,0.958,0.00897061870775924,0.28266303730341263,500.0
C3,Q✓ π✗ G✓,250,tmle,0.513946,-0.09886684941881166,-0.003278416522440093,0.001877631128607335,0.041985108402356516,0.03634795634098427,0.8657344883488297,0.04207103331030889,0.91,0.012798437404620923,0.14248137067992692,500.0
C3,Q✓ π✗ G✓,250,tmle,1.149562,-0.17473091250511089,-0.0035996112191292854,0.002414907577298065,0.05399897502217801,0.047373043466434256,0.8772952347146885,0.054064912149820364,0.902,0.013296315279053816,0.1856989180645233,500.0
C3,Q✓ π✗ G✓,250,tmle,2.66982,-0.25736161330036356,-0.0027874821166955824,0.0029014269070053063,0.06487787795810826,0.05785070450111435,0.8916861389712628,0.0648728820602368,0.914,0.01253826144248077,0.22677059460490662,500.0
C3,Q✓ π✗ G✓,250,tmle (concrete),0.513946,-0.09886684941881166,-0.005741397730517685,0.00271488679132842,0.03313941660877118,0.03686674267743281,1.1124741003338938,0.03352333472045947,0.9664429530201343,0.014753220915046534,0.1445149768900638,149.0
C3,Q✓ π✗ G✓,250,tmle (concrete),1.149562,-0.17473091250511089,-0.001854727213750885,0.0037840033567520816,0.046189647424317304,0.04726479750283024,1.0232768626405861,0.0460717360299811,0.9530201342281879,0.01733459859981212,0.18527460314567434,149.0
C3,Q✓ π✗ G✓,250,tmle (concrete),2.66982,-0.25736161330036356,0.004996454476372944,0.004406762058905477,0.05379138615733486,0.058124872321588916,1.080560968471402,0.05384290324841497,0.9798657718120806,0.011506881816937547,0.22784531450982143,149.0
C4,Q✓ π✗ G✗,250,aipw,0.513946,-0.09886684941881166,-0.004799081898478667,0.0016601232462020742,0.03712148429535458,0.03576212525587597,0.9633808004910861,0.0373935793173906,0.948,0.009929350431926557,0.14018495502425432,500.0
C4,Q✓ π✗ G✗,250,aipw,1.149562,-0.17473091250511089,-0.006274930775910235,0.0023504901714996597,0.052558558039183786,0.04637501687501817,0.8823494898860119,0.052879598857729616,0.924,0.01185107590052481,0.1817867257149457,500.0
C4,Q✓ π✗ G✗,250,aipw,2.66982,-0.25736161330036356,-0.005289983464662368,0.0027742068927577553,0.062033151958548104,0.056576431999698557,0.9120354232121585,0.062196460052682236,0.928,0.0115599307956406,0.22177553818637719,500.0
C4,Q✓ π✗ G✗,250,gcomp,0.513946,-0.09886684941881166,-0.0035233634284470195,0.001337359705394086,0.02990427211630269,,,0.030081407042776183,,,,500.0
C4,Q✓ π✗ G✗,250,gcomp,1.149562,-0.17473091250511089,-0.003896707130012488,0.0019696984941635484,0.04404379728128667,,,0.04417194463971735,,,,500.0
C4,Q✓ π✗ G✗,250,gcomp,2.66982,-0.25736161330036356,-0.002970749814053282,0.002368268660052745,0.05295609712860279,,,0.05298645941281152,,,,500.0
C4,Q✓ π✗ G✗,250,ipw,0.513946,-0.09886684941881166,0.021245646148497492,0.0015653898136824822,0.035003180346797606,0.03844025361699845,1.0981931709104056,0.040916374098749556,0.904,0.013174520864152895,0.15068302529180505,500.0
C4,Q✓ π✗ G✗,250,ipw,1.149562,-0.17473091250511089,0.0355407149296637,0.002133709276537823,0.0477111898656047,0.053019560924757916,1.1112605045924469,0.059455423140590095,0.894,0.013766916866168691,0.20783285977730537,500.0
C4,Q✓ π✗ G✗,250,ipw,2.66982,-0.25736161330036356,0.042817958736752815,0.002580888693755802,0.057710425615986105,0.06913942598307567,1.1980404796031112,0.07181371616001343,0.93,0.011410521460476728,0.27102156967720226,500.0
C4,Q✓ π✗ G✗,250,tmle,0.513946,-0.09886684941881166,-0.004870214659426986,0.0016711248304582672,0.03736748719792496,0.035576685616746054,0.9520759431402616,0.03764645311469607,0.946,0.010107818755794947,0.13945804499625286,500.0
C4,Q✓ π✗ G✗,250,tmle,1.149562,-0.17473091250511089,-0.006515117237745619,0.0023687930476018245,0.052967822790665746,0.04616226887494045,0.8715153170893669,0.053314405401378835,0.914,0.01253826144248077,0.18095276887907522,500.0
C4,Q✓ π✗ G✗,250,tmle,2.66982,-0.25736161330036356,-0.004807544985896726,0.0027643534801899345,0.06181282295542813,0.05622701728551408,0.9096335452282798,0.061937839164335436,0.928,0.0115599307956406,0.22040585767543736,500.0
C4,Q✓ π✗ G✗,250,tmle (concrete),0.513946,-0.09886684941881166,-0.0032280358082010002,0.0025847240891610874,0.030363633003288103,0.03594220435667823,1.1837254241870865,0.03042514791616147,0.9637681159420289,0.015907143285461684,0.14089085323946496,138.0
C4,Q✓ π✗ G✗,250,tmle (concrete),1.149562,-0.17473091250511089,-0.0023321756774465963,0.0038640247800488204,0.04539201334061669,0.0465568354833864,1.0256613896816829,0.04528734073672648,0.9492753623188406,0.01867953402525181,0.18249944300271986,138.0
C4,Q✓ π✗ G✗,250,tmle (concrete),2.66982,-0.25736161330036356,0.004442671270776258,0.004565904265295662,0.05363723038019978,0.056511898762887654,1.0535946461499075,0.05362688065810804,0.9855072463768116,0.010173393016855548,0.22152257429380867,138.0
C5,Q✗ π✓ G✓,250,aipw,0.513946,-0.09886684941881166,0.002630330189268983,0.002002217329175077,0.04477094053763545,0.04311262706694106,0.9629600483979026,0.04480342486122931,0.916,0.012405160216619531,0.16899839266022235,500.0
C5,Q✗ π✓ G✓,250,aipw,1.149562,-0.17473091250511089,0.001676830668926934,0.002526174353029057,0.056486975763895234,0.055882372100716206,0.989296582884767,0.05645536852400522,0.936,0.01094568408095172,0.21905487337613938,500.0
