cell,n,reps,frac_rep_error,frac_tmle_nonconverged,median_tmle_steps,mean_censored_frac,mean_ps_mae,min_ps,max_ps,mean_cumhaz_mae,n_failed_fits
C1_n1000,1000,500,0.0,0.004,28.0,0.276462,0.022836937964003913,0.016510593840317285,0.9918740339435096,0.12141882905895646,0.0
C1_n250,250,500,0.0,0.172,26.5,0.27669600000000005,0.0445597667744937,0.012531352604822993,0.9926311985406363,0.26730803117980956,0.0
C1_n500,500,500,0.0,0.024,28.0,0.272868,0.032872128554565144,0.023463399608752912,0.993120457720444,0.18102650144933133,0.0
C2_n1000,1000,500,0.0,0.028,28.5,0.274186,0.022235476816659293,0.019609693608250732,0.9883459746682858,0.12354610629211199,0.0
C2_n250,250,500,0.0,0.32,26.0,0.273248,0.04598060069998083,0.004117262006932198,0.991060310026625,0.268957389126342,0.0
C2_n500,500,500,0.0,0.116,28.0,0.275752,0.03200640940434616,0.023460950789980714,0.9837700229515266,0.17494666375669687,0.0
C3_n1000,1000,500,0.0,0.0,19.0,0.27538799999999997,0.10352155162371353,0.24845380909859,0.7848736080284826,0.12117508352608677,0.0
C3_n250,250,500,0.0,0.04,17.0,0.273872,0.10825622974483268,0.16853271524075755,0.8353040909440551,0.26973847322195166,0.0
C3_n500,500,500,0.0,0.002,17.5,0.276012,0.10517329491657323,0.21750100444714396,0.8177115951135179,0.17794212748582688,0.0
C4_n1000,1000,500,0.0,0.006,18.0,0.27393,0.10359976694924974,0.2461728125939538,0.792097743728623,0.12383594200039473,0.0
C4_n250,250,500,0.0,0.158,19.0,0.274352,0.10820599287793317,0.18057498966201427,0.8695098729240085,0.275947922364565,0.0
C4_n500,500,500,0.0,0.024,18.0,0.274632,0.10542113901242599,0.21828420127999296,0.813190518873024,0.1765189912251515,0.0
C5_n1000,1000,500,0.0,0.016,28.0,0.27335200000000004,0.02250828917653569,0.01497287263130542,0.9809567190520883,0.43112484165089227,0.0
C5_n250,250,500,0.0,0.214,27.0,0.273336,0.046274702350113564,0.012498475874891335,0.992208795108438,0.4462933611031516,0.0
C5_n500,500,500,0.0,0.036,29.0,0.274304,0.03265748612474282,0.009760922128447423,0.9844825423167614,0.4371636768600415,0.0
C6_n1000,1000,500,0.0,0.014,31.0,0.275054,0.023143680267005518,0.026955457651509085,0.9790099021831823,0.43190053073480517,0.0
C6_n250,250,500,0.0,0.314,27.0,0.273736,0.045893629300560665,0.007122205687879864,0.9905192348822046,0.4476117270955233,0.0
C6_n500,500,500,0.0,0.088,28.0,0.27374400000000004,0.03256431229623872,0.021801598071454157,0.9875510940016377,0.4349252432196958,0.0
C7_n1000,1000,500,0.0,0.0,21.0,0.275248,0.10358409536327585,0.24298024367119098,0.7831302669847314,0.4316280189461849,0.0
C7_n250,250,500,0.0,0.022,20.0,0.2722,0.10801355500312144,0.15942559998504335,0.8400174318727758,0.44484333644331475,0.0
C7_n500,500,500,0.0,0.0,19.0,0.277128,0.1053161289928057,0.2173812736857031,0.822797353455013,0.43591481359885037,0.0
C8_n1000,1000,500,0.0,0.002,19.0,0.274382,0.1037600112896613,0.24262749597146296,0.7771022124269027,0.43001180945662687,0.0
C8_n250,250,500,0.0,0.068,19.0,0.274088,0.10849315670741319,0.1644735346054621,0.8635824191932031,0.4450039291256482,0.0
C8_n500,500,500,0.0,0.01,19.0,0.275476,0.10513500776618491,0.22484002776647966,0.8192512202774492,0.43375588085551825,0.0
