cell,implementation,n,median_n_times,n_runs,mean_s,sd_s,median_s,q05_s,q95_s,min_s,max_s,total_s,median_steps,median_s_per_step,median_ns_per_step_cell
C1_n1000,tmle,1000.0,1000.0,500.0,42.38229099845886,26.831329592655713,36.28301465511322,15.430119931697845,84.88914538621901,9.893703937530518,311.01598620414734,21191.14549922943,28.0,1.3356353345939092,1335.635334593909
C1_n1000,tmle (concrete),1000.0,1000.0,150.0,5.083238897323608,2.6931807462341393,4.247692108154297,1.9676262855529785,10.467097604274748,1.2366251945495605,14.741443872451782,762.4858345985413,26.0,0.16182721070348532,161.82721070348532
C1_n250,tmle,250.0,250.0,500.0,6.296887392997742,8.374086918890002,2.400106191635132,0.8096252202987672,26.583825588226315,0.4565873146057129,32.011340379714966,3148.443696498871,26.5,0.08840912939982012,1414.5460703971219
C1_n250,tmle (concrete),250.0,250.0,148.0,0.5660862503825007,0.5270200856904476,0.4086577892303467,0.14061200618743896,1.8408586621284486,0.11130046844482422,3.4471473693847656,83.78076505661011,25.5,0.01515289625296226,242.44634004739612
C1_n500,tmle,500.0,500.0,500.0,11.675158020496369,11.366656691082934,9.234785079956055,3.3627475619316103,25.91564141511915,2.0112569332122803,92.25065398216248,5837.579010248184,28.0,0.33826623360315955,1353.0649344126384
C1_n500,tmle (concrete),500.0,500.0,150.0,1.4602444871266682,0.9075543230613484,1.28481924533844,0.5163915276527404,3.016517043113707,0.32865238189697266,6.147061586380005,219.03667306900024,28.5,0.045429861058994214,181.71944423597685
C2_n1000,tmle,1000.0,1000.0,500.0,49.42911290073395,52.077159758304084,38.099506855010986,14.555815494060518,100.98271688222884,9.075274229049683,415.027268409729,24714.556450366974,28.5,1.333216552856641,1333.2165528566409
C2_n1000,tmle (concrete),1000.0,1000.0,148.0,5.069551023277077,2.7937056243789926,4.3929619789123535,1.9441717982292175,10.155482566356659,1.261850357055664,17.09152865409851,750.2935514450073,27.0,0.1595196823985614,159.5196823985614
C2_n250,tmle,250.0,250.0,500.0,9.951539622783661,10.838370595446838,3.075803756713867,0.812580692768097,27.25674670934677,0.5098733901977539,31.09327530860901,4975.76981139183,26.0,0.09429478970440952,1508.7166352705522
C2_n250,tmle (concrete),250.0,250.0,145.0,0.5296954187853583,0.40856781096550515,0.41161370277404785,0.13524813652038575,1.3914653301239002,0.10212850570678711,2.3022611141204834,76.80583572387695,25.0,0.01504388088133277,240.70209410132432
C2_n500,tmle,500.0,500.0,500.0,19.528505394935607,26.741255063706312,9.636543035507202,3.4435765147209167,96.6066086411476,2.3286402225494385,113.39186644554138,9764.252697467804,28.0,0.3472917199134827,1389.1668796539307
C2_n500,tmle (concrete),500.0,500.0,146.0,1.6481503999396547,1.1817421265685004,1.3279277086257935,0.5032949447631836,3.939962923526764,0.3963789939880371,8.02832579612732,240.62995839118958,29.0,0.045406103350114135,181.62441340045655
C3_n1000,tmle,1000.0,1000.0,500.0,28.880896498203278,14.018974174418405,25.898226022720337,12.09627970457077,53.640070211887334,5.886146068572998,112.22708511352539,14440.448249101639,19.0,1.3959131176655108,1395.913117665511
C3_n1000,tmle (concrete),1000.0,1000.0,150.0,3.8379792547225953,1.9159406080455053,3.6456300020217896,1.5622235059738159,7.03255983591079,0.8970005512237549,13.524189233779907,575.6968882083893,22.5,0.1632973523367019,163.2973523367019
C3_n250,tmle,250.0,250.0,500.0,2.5142492876052858,3.731042591983748,1.4718066453933716,0.6225284934043884,6.829540812969205,0.45150113105773926,24.103434324264526,1257.1246438026428,17.0,0.08564507109778269,1370.3211375645228
C3_n250,tmle (concrete),250.0,250.0,149.0,0.3917641383689522,0.29171851679293087,0.3043811321258545,0.13284568786621093,0.9133837699890133,0.09823846817016602,1.8522467613220215,58.37285661697388,18.0,0.016039521605880173,256.63234569408274
C3_n500,tmle,500.0,500.0,500.0,7.196967504501343,4.22808874321415,6.144982218742371,2.702636921405792,14.710543382167815,1.8926963806152344,36.87020754814148,3598.4837522506714,17.5,0.3561018705368042,1424.4074821472168
C3_n500,tmle (concrete),500.0,500.0,150.0,1.0267369031906128,0.5598920466533371,0.8900078535079956,0.3815829873085022,1.9591301560401913,0.218825101852417,3.4458861351013184,154.01053547859192,19.0,0.04766025062485453,190.64100249941808
C4_n1000,tmle,1000.0,1000.0,500.0,29.70019092512131,26.031549736101983,25.267164826393127,11.679675936698914,53.00938626527786,7.096825361251831,352.1376802921295,14850.095462560654,18.0,1.4124304492489186,1412.4304492489184
C4_n1000,tmle (concrete),1000.0,1000.0,149.0,3.4187917453330634,1.4339707555424712,3.176923990249634,1.5627615451812744,5.841049623489379,1.13981032371521,9.57731294631958,509.39997005462646,19.0,0.1654252847035726,165.4252847035726
C4_n250,tmle,250.0,250.0,500.0,5.4097156915664675,8.466014728151846,1.6358262300491333,0.6052568316459656,26.18540756702423,0.3088517189025879,28.7560613155365,2704.8578457832336,19.0,0.09219103317329849,1475.056530772776
C4_n250,tmle (concrete),250.0,250.0,138.0,0.33656670563462854,0.26065233357150025,0.2747485637664795,0.09638499021530152,0.7203449368476869,0.05768537521362305,1.7875869274139404,46.446205377578735,16.0,0.01496039216335003,239.36627461360055
C4_n500,tmle,500.0,500.0,500.0,8.52463487625122,10.412618952442953,6.2462886571884155,2.63679758310318,16.35461798906325,1.4757192134857178,96.79313278198242,4262.31743812561,18.0,0.35113733096255195,1404.5493238502079
C4_n500,tmle (concrete),500.0,500.0,148.0,1.0304001022029567,0.532711134200341,0.8867307901382446,0.43610984086990356,1.9759940624237065,0.267977237701416,3.560671329498291,152.4992151260376,18.5,0.046755992703967623,187.02397081587048
C5_n1000,tmle,1000.0,1000.0,500.0,48.39059840726853,51.30337136918672,36.990435004234314,15.718450689315796,100.26563905477522,10.532017946243286,439.5836179256439,24195.299203634262,28.0,1.3306686062561837,1330.668606256184
C5_n1000,tmle (concrete),1000.0,1000.0,150.0,4.947628386815389,2.7699361800280244,4.312094688415527,1.89572616815567,9.551532149314879,1.2834491729736328,17.919641256332397,742.1442580223083,27.0,0.15696863324056395,156.96863324056395
