cell,arm,n,n_bootstrap,type,event,time,group,cov_all,cov_convfilter,mode2_effect,cov_dropmode1,mode1_effect,cov_strict,both_effect,width_all,width_convfilter
BS12_n250_oracle,oracle,250,100,rd,1,0.477676,-1,0.912,0.9186991869918699,0.006699186991869888,0.9135802469135802,0.0015802469135801633,0.9135802469135802,0.0015802469135801633,0.0944333386294263,0.09257195546885989
BS12_n250_oracle,oracle,250,100,rd,1,3.11961,-1,0.928,0.928,0.0,0.9300411522633745,0.002041152263374424,0.9300411522633745,0.002041152263374424,0.2038168914733237,0.2038207946117234
BS12_n250_oracle,oracle,250,100,rd,1,8.608445,-1,0.928,0.928,0.0,0.9218106995884774,-0.006189300411522658,0.9218106995884774,-0.006189300411522658,0.253120483819329,0.25310296880343464
BS12_n250_oracle,oracle,250,100,rd,2,0.477676,-1,0.932,0.9392712550607287,0.007271255060728676,0.934156378600823,0.0021563786008229613,0.934156378600823,0.0021563786008229613,0.0935964490526049,0.091847897849034
BS12_n250_oracle,oracle,250,100,rd,2,3.11961,-1,0.964,0.964,0.0,0.9588477366255144,-0.0051522633744855995,0.9588477366255144,-0.0051522633744855995,0.2033333018850757,0.20333356451845036
BS12_n250_oracle,oracle,250,100,rd,2,8.608445,-1,0.944,0.944,0.0,0.934156378600823,-0.009843621399176938,0.934156378600823,-0.009843621399176938,0.2579267977903619,0.2578850976813262
BS12_n250_oracle,oracle,250,100,risk,1,0.477676,0,0.908,0.9156626506024096,0.00766265060240956,0.9135802469135802,0.005580246913580167,0.9135802469135802,0.005580246913580167,0.07647827709179608,0.07539049667388803
BS12_n250_oracle,oracle,250,100,risk,1,0.477676,1,0.912,0.9311740890688259,0.019174089068825895,0.9259259259259259,0.013925925925925897,0.9259259259259259,0.013925925925925897,0.050894601362884755,0.04872434830795108
BS12_n250_oracle,oracle,250,100,risk,1,3.11961,0,0.904,0.904,0.0,0.9053497942386831,0.0013497942386830886,0.9053497942386831,0.0013497942386830886,0.16134825047306658,0.16134887874727574
BS12_n250_oracle,oracle,250,100,risk,1,3.11961,1,0.948,0.948,0.0,0.9423868312757202,-0.005613168724279749,0.9423868312757202,-0.005613168724279749,0.12408148555089303,0.12408349297931319
BS12_n250_oracle,oracle,250,100,risk,1,8.608445,0,0.928,0.928,0.0,0.934156378600823,0.006156378600822965,0.934156378600823,0.006156378600822965,0.19203710138127628,0.19203866576151488
BS12_n250_oracle,oracle,250,100,risk,1,8.608445,1,0.928,0.928,0.0,0.9218106995884774,-0.006189300411522658,0.9218106995884774,-0.006189300411522658,0.16837099575043396,0.1683720222200291
BS12_n250_oracle,oracle,250,100,risk,2,0.477676,0,0.928,0.9433198380566802,0.015319838056680135,0.934156378600823,0.006156378600822965,0.934156378600823,0.006156378600822965,0.060689414439766595,0.0591828800360589
BS12_n250_oracle,oracle,250,100,risk,2,0.477676,1,0.912,0.916,0.0040000000000000036,0.9094650205761317,-0.0025349794238683776,0.9094650205761317,-0.0025349794238683776,0.06728681243689633,0.06567141935936471
BS12_n250_oracle,oracle,250,100,risk,2,3.11961,0,0.912,0.912,0.0,0.9259259259259259,0.013925925925925897,0.9259259259259259,0.013925925925925897,0.1373092249714752,0.1373102316144982
