axis,arm,n,type,event,time,levels_tested,min_coverage,breakpoint_level,coverage_at_break,se_ratio_at_break,std_bias_at_break
base,correct,250,rd,1,0.477676,1,0.948,,,,
base,oracle,250,rd,1,0.477676,1,0.944,,,,
base,correct,500,rd,1,0.477676,1,0.963,,,,
base,oracle,500,rd,1,0.477676,1,0.964,,,,
base,correct,1000,rd,1,0.477676,1,0.952,,,,
base,oracle,1000,rd,1,0.477676,1,0.951,,,,
base,correct,2000,rd,1,0.477676,1,0.96,,,,
base,oracle,2000,rd,1,0.477676,1,0.956,,,,
base,correct,250,rd,1,3.11961,1,0.942,,,,
base,oracle,250,rd,1,3.11961,1,0.942,,,,
base,correct,500,rd,1,3.11961,1,0.956,,,,
base,oracle,500,rd,1,3.11961,1,0.954,,,,
base,correct,1000,rd,1,3.11961,1,0.943,,,,
base,oracle,1000,rd,1,3.11961,1,0.944,,,,
base,correct,2000,rd,1,3.11961,1,0.95,,,,
base,oracle,2000,rd,1,3.11961,1,0.95,,,,
base,correct,250,rd,1,8.608445,1,0.939,,,,
base,oracle,250,rd,1,8.608445,1,0.939,,,,
base,correct,500,rd,1,8.608445,1,0.949,,,,
base,oracle,500,rd,1,8.608445,1,0.947,,,,
base,correct,1000,rd,1,8.608445,1,0.944,,,,
base,oracle,1000,rd,1,8.608445,1,0.944,,,,
base,correct,2000,rd,1,8.608445,1,0.954,,,,
base,oracle,2000,rd,1,8.608445,1,0.952,,,,
base,correct,250,rd,2,0.477676,1,0.957,,,,
base,oracle,250,rd,2,0.477676,1,0.953,,,,
base,correct,500,rd,2,0.477676,1,0.958,,,,
base,oracle,500,rd,2,0.477676,1,0.951,,,,
base,correct,1000,rd,2,0.477676,1,0.954,,,,
base,oracle,1000,rd,2,0.477676,1,0.95,,,,
base,correct,2000,rd,2,0.477676,1,0.954,,,,
base,oracle,2000,rd,2,0.477676,1,0.95,,,,
base,correct,250,rd,2,3.11961,1,0.951,,,,
base,oracle,250,rd,2,3.11961,1,0.952,,,,
base,correct,500,rd,2,3.11961,1,0.946,,,,
base,oracle,500,rd,2,3.11961,1,0.946,,,,
base,correct,1000,rd,2,3.11961,1,0.939,,,,
base,oracle,1000,rd,2,3.11961,1,0.945,,,,
base,correct,2000,rd,2,3.11961,1,0.966,,,,
base,oracle,2000,rd,2,3.11961,1,0.962,,,,
base,correct,250,rd,2,8.608445,1,0.95,,,,
base,oracle,250,rd,2,8.608445,1,0.953,,,,
base,correct,500,rd,2,8.608445,1,0.943,,,,
base,oracle,500,rd,2,8.608445,1,0.946,,,,
base,correct,1000,rd,2,8.608445,1,0.921,,,,
base,oracle,1000,rd,2,8.608445,1,0.926,,,,
base,correct,2000,rd,2,8.608445,1,0.94,,,,
base,oracle,2000,rd,2,8.608445,1,0.942,,,,
base,correct,250,risk,1,0.477676,1,0.898,base,0.898,1.0123020810953116,-0.008554092670262413
base,oracle,250,risk,1,0.477676,1,0.905,,,,
base,correct,500,risk,1,0.477676,1,0.927,,,,
base,oracle,500,risk,1,0.477676,1,0.927,,,,
base,correct,1000,risk,1,0.477676,1,0.939,,,,
base,oracle,1000,risk,1,0.477676,1,0.939,,,,
base,correct,2000,risk,1,0.477676,1,0.94,,,,
base,oracle,2000,risk,1,0.477676,1,0.94,,,,
base,correct,250,risk,1,3.11961,1,0.928,,,,
base,oracle,250,risk,1,3.11961,1,0.93,,,,
base,correct,500,risk,1,3.11961,1,0.945,,,,
base,oracle,500,risk,1,3.11961,1,0.946,,,,
base,correct,1000,risk,1,3.11961,1,0.938,,,,
base,oracle,1000,risk,1,3.11961,1,0.939,,,,
base,correct,2000,risk,1,3.11961,1,0.924,,,,
base,oracle,2000,risk,1,3.11961,1,0.926,,,,
base,correct,250,risk,1,8.608445,1,0.934,,,,
base,oracle,250,risk,1,8.608445,1,0.928,,,,
base,correct,500,risk,1,8.608445,1,0.946,,,,
base,oracle,500,risk,1,8.608445,1,0.943,,,,
base,correct,1000,risk,1,8.608445,1,0.943,,,,
base,oracle,1000,risk,1,8.608445,1,0.938,,,,
base,correct,2000,risk,1,8.608445,1,0.936,,,,
base,oracle,2000,risk,1,8.608445,1,0.944,,,,
base,correct,250,risk,2,0.477676,1,0.899,base,0.899,0.9706896586973908,0.010998654688633553
base,oracle,250,risk,2,0.477676,1,0.903,,,,
base,correct,500,risk,2,0.477676,1,0.936,,,,
base,oracle,500,risk,2,0.477676,1,0.935,,,,
base,correct,1000,risk,2,0.477676,1,0.923,,,,
base,oracle,1000,risk,2,0.477676,1,0.927,,,,
base,correct,2000,risk,2,0.477676,1,0.934,,,,
base,oracle,2000,risk,2,0.477676,1,0.938,,,,
base,correct,250,risk,2,3.11961,1,0.939,,,,
base,oracle,250,risk,2,3.11961,1,0.933,,,,
base,correct,500,risk,2,3.11961,1,0.929,,,,
base,oracle,500,risk,2,3.11961,1,0.929,,,,
base,correct,1000,risk,2,3.11961,1,0.946,,,,
base,oracle,1000,risk,2,3.11961,1,0.944,,,,
base,correct,2000,risk,2,3.11961,1,0.968,,,,
base,oracle,2000,risk,2,3.11961,1,0.962,,,,
base,correct,250,risk,2,8.608445,1,0.934,,,,
base,oracle,250,risk,2,8.608445,1,0.936,,,,
base,correct,500,risk,2,8.608445,1,0.94,,,,
base,oracle,500,risk,2,8.608445,1,0.937,,,,
base,correct,1000,risk,2,8.608445,1,0.942,,,,
