cell,axis,level,arm,n,min_nuisance,max_updates,n_bootstrap,med_ps_min,med_ps_p01,med_frac_ps_below_05,med_piG_p01,med_frac_weights_truncated,med_frac_subjects_truncated,med_censored_frac,med_n_events_1,med_n_events_2,med_n_times,med_ps_mae,med_cumhaz_mae,med_n_failed_fits,med_tmle_steps,med_tmle_converged,med_seconds,reps_attempted,reps_failed,completion
W_n250_correct,base,base,correct,250,0.01,200,0,,,,,,,,,,,,,,,,2.334338068962097,1000,0,1.0
BS12_n250_oracle,base,base,oracle,250,0.01,200,100,,,,,,,,,,,,,,,,587.3017926216125,250,0,1.0
W_n250_oracle,base,base,oracle,250,0.01,200,0,,,,,,,,,,,,,,,,2.6460834741592407,1000,0,1.0
W_n500_correct,base,base,correct,500,0.01,200,0,,,,,,,,,,,,,,,,9.523019552230835,1000,0,1.0
W_n500_oracle,base,base,oracle,500,0.01,200,0,,,,,,,,,,,,,,,,10.935948610305786,1000,0,1.0
W_n1000_correct,base,base,correct,1000,0.01,200,0,,,,,,,,,,,,,,,,48.925955057144165,1000,0,1.0
W_n1000_oracle,base,base,oracle,1000,0.01,200,0,,,,,,,,,,,,,,,,55.385247349739075,1000,0,1.0
W_n2000_correct,base,base,correct,2000,0.01,200,0,,,,,,,,,,,,,,,,209.46383202075958,500,0,1.0
W_n2000_oracle,base,base,oracle,2000,0.01,200,0,,,,,,,,,,,,,,,,241.23124372959137,500,0,1.0
B_BASEb500_n250_oracle,bootstrap_B,base@B500,oracle,250,0.01,200,500,0.25060457802138947,0.25508818094413654,0.0,0.16656796336003699,0.0,0.0,0.24,92.0,97.0,250.0,0.0,0.0,0.0,26.5,1.0,4062.8480540513992,100,0,1.0
CN0_n250_correct,censoring,CN0,correct,250,0.01,200,0,0.24050105445353503,0.23613220428349405,0.0,0.11738496078815418,0.0,0.0,0.3,86.0,89.0,250.0,0.048170150190824046,0.08269305004134592,0.0,23.0,1.0,2.5910295248031616,1000,0,1.0
CN0_n500_correct,censoring,CN0,correct,500,0.01,200,0,0.22713003962864653,0.23909544622796158,0.0,0.1294791513371762,0.0,0.0,0.302,172.0,178.0,500.0,0.033563888275968,0.05923449282169264,0.0,22.0,1.0,10.642724633216858,500,0,1.0
CN1_n250_correct,censoring,CN1,correct,250,0.01,200,0,0.2382012001745335,0.23433131190540984,0.0,0.07587898403418808,0.0,0.0,0.298,86.0,90.0,250.0,0.047490852749622184,0.08438940301678298,0.0,25.0,1.0,2.8029948472976685,1000,0,1.0
CN1_n500_correct,censoring,CN1,correct,500,0.01,200,0,0.23089724961945268,0.2391269619099946,0.0,0.09222028331421,0.0,0.0,0.302,171.0,178.0,500.0,0.032398330491149846,0.059813359959808646,0.0,23.0,1.0,10.694028735160828,500,0,1.0
CN2_n250_correct,censoring,CN2,correct,250,0.01,200,0,0.2421494006731594,0.2383807676905874,0.0,0.008495098448953495,0.014,0.024,0.304,86.0,88.0,250.0,0.047167501794111555,0.08958509572554926,0.0,26.0,1.0,5.0562424659729,1000,0,1.0
CN2_n500_correct,censoring,CN2,correct,500,0.01,200,0,0.225929418236762,0.24042391806625268,0.0,0.010214726963424157,0.01,0.02,0.3,171.0,178.0,500.0,0.0334469181960039,0.06269370477681327,0.0,25.0,1.0,12.309005498886108,500,0,1.0
CN3_n250_correct,censoring,CN3,correct,250,0.01,200,0,0.24009340520810057,0.23560161861821638,0.0,1.1104435861526854e-05,0.058,0.112,0.3,86.0,89.0,250.0,0.04699449796295289,0.09784080717330888,0.0,27.0,0.0,29.216654419898987,1000,0,1.0
CN3_n250_oracle,censoring,CN3,oracle,250,0.01,200,0,0.24445209024506057,0.2515039679196937,0.0,3.680129272238861e-05,0.056,0.112,0.3,86.0,89.0,250.0,0.0,0.0,0.0,27.0,0.0,30.914711236953735,1000,0,1.0
