cell,arm,n,procedure,event,time,reps_with_ci,truth,excludes_null,coverage,mean_width,se_ratio,type_i_mc_se
NULL_n250_correct,correct,250,wald,1,0.477676,1000,0.0,0.055,0.945,0.11161105638326103,1.0123619734898606,0.00720936890441875
NULL_n250_correct,correct,250,atanhwald,1,0.477676,1000,0.0,0.054,0.946,0.11148640968265228,1.0123619734898606,0.007147307185227175
NULL_n500_correct,correct,500,wald,1,0.477676,500,0.0,0.04,0.96,0.07967266504063895,1.0856810923893443,0.008763560920082658
NULL_n500_correct,correct,500,atanhwald,1,0.477676,500,0.0,0.04,0.96,0.07962918413732781,1.0856810923893443,0.008763560920082658
NULL_n250_correct,correct,250,wald,1,3.11961,1000,0.0,0.065,0.935,0.2306589118608013,0.9449762479078752,0.007795832219846705
NULL_n250_correct,correct,250,atanhwald,1,3.11961,1000,0.0,0.062,0.938,0.22963775318474614,0.9449762479078752,0.007626008130076967
NULL_n500_correct,correct,500,wald,1,3.11961,500,0.0,0.058,0.942,0.1631478343088593,1.0051667098858046,0.010453324829928513
NULL_n500_correct,correct,500,atanhwald,1,3.11961,500,0.0,0.058,0.942,0.1627862347729538,1.0051667098858046,0.010453324829928513
NULL_n250_correct,correct,250,wald,1,8.608445,1000,0.0,0.077,0.923,0.27525859033772954,0.9258861854924029,0.00843036179532053
NULL_n250_correct,correct,250,atanhwald,1,8.608445,1000,0.0,0.072,0.928,0.273535780647755,0.9258861854924029,0.008174105455644672
NULL_n500_correct,correct,500,wald,1,8.608445,500,0.0,0.046,0.954,0.1952747021464705,1.0257760694202478,0.00936845771725528
NULL_n500_correct,correct,500,atanhwald,1,8.608445,500,0.0,0.046,0.954,0.19465683758694394,1.0257760694202478,0.00936845771725528
NULL_n250_correct,correct,250,wald,2,0.477676,1000,0.0,0.044,0.956,0.09439871070881972,1.0616179949740308,0.006485676526007136
NULL_n250_correct,correct,250,atanhwald,2,0.477676,1000,0.0,0.043,0.957,0.09432074271683519,1.0616179949740308,0.006414904519944158
NULL_n500_correct,correct,500,wald,2,0.477676,500,0.0,0.04,0.96,0.06604093296333353,1.0727521634994885,0.008763560920082658
NULL_n500_correct,correct,500,atanhwald,2,0.477676,500,0.0,0.04,0.96,0.06601571087737781,1.0727521634994885,0.008763560920082658
NULL_n250_correct,correct,250,wald,2,3.11961,1000,0.0,0.049,0.951,0.2023148740115442,1.006774314498814,0.006826346021115542
NULL_n250_correct,correct,250,atanhwald,2,3.11961,1000,0.0,0.048,0.952,0.20161894601028785,1.006774314498814,0.006759881655768835
NULL_n500_correct,correct,500,wald,2,3.11961,500,0.0,0.072,0.928,0.14319559449486546,0.9874429552877715,0.011559930795640603
NULL_n500_correct,correct,500,atanhwald,2,3.11961,500,0.0,0.07,0.93,0.1429499648252224,0.9874429552877715,0.011410521460476731
NULL_n250_correct,correct,250,wald,2,8.608445,1000,0.0,0.042,0.958,0.2580113735631902,1.0038442930730764,0.0063431853196954605
NULL_n250_correct,correct,250,atanhwald,2,8.608445,1000,0.0,0.042,0.958,0.25658523473297257,1.0038442930730764,0.0063431853196954605
NULL_n500_correct,correct,500,wald,2,8.608445,500,0.0,0.056,0.944,0.18293255113302248,0.9737971037166903,0.010282412168358162
NULL_n500_correct,correct,500,atanhwald,2,8.608445,500,0.0,0.052,0.948,0.18242376303211044,0.9737971037166903,0.00992935043192655
