cell,estimator,estimand,event,time,group,n_rep,n_used,truth,bias,bias_mc_se,rel_bias,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,miss_low,miss_high,ci_width,ci_width_mc_se,n_ci,n_error,frac_nonconverged,n_converged_known,n
n500,aipw,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0010229710599651267,0.0014205950342769,0.015323039382415833,0.031765470651417924,0.030520434480528044,0.9608053604949718,0.03175017331045939,0.94,0.010620734437881408,0.034,0.026,0.11963790474869881,0.00033053759689018175,500.0,0.0,0.0,500.0,500
n500,aipw,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.00039938685717412546,0.001747608597941368,0.0036406692908549647,0.03907771623059998,0.03828542703845792,0.9797252943988151,0.0390406618777062,0.956,0.009172131704244116,0.028,0.016,0.150076116256227,0.0002852789983651767,500.0,0.0,0.0,500.0,500
n500,aipw,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0021984387149826226,0.0020337457579669878,0.014620792945992054,0.045475937637660196,0.04395037062697149,0.9664533137756498,0.04548360050611478,0.934,0.01110351295761841,0.03,0.036,0.1722822870721024,0.0002559693424870306,500.0,0.0,0.0,500.0,500
n500,aipw,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.0006600892944438705,0.0013931078211792448,0.024597080477041976,0.031150837881434124,0.030409428967898736,0.9761993909647847,0.031126671347746132,0.938,0.010784804124322337,0.04,0.022,0.1192027711350211,0.0003553650266495284,500.0,0.0,0.0,500.0,500
n500,aipw,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0014884001297846994,0.0017851149034509449,0.029776656479918777,0.03991638271764287,0.03838344182699494,0.9615961971932298,0.039904214175813045,0.942,0.010453324829928518,0.028,0.03,0.15046032716719673,0.0002941977582002591,500.0,0.0,0.0,500.0,500
n500,aipw,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0016298746256754283,0.0021007637019913165,0.020272781549247988,0.046974504423166946,0.04433062149490611,0.9437166403195321,0.04695580207989154,0.924,0.01185107590052481,0.038,0.038,0.1737728430845863,0.0002629740836210051,500.0,0.0,0.0,500.0,500
n500,ate:AIPTW,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.000999526244267422,0.001420395832642408,0.014971860499347863,0.03176101636745839,0.030391686399751004,0.9568864562813433,0.03174497895865662,0.94,0.010620734437881408,0.034,0.026,0.11913322154589548,0.00032792210760676364,500.0,0.0,,0.0,500
n500,ate:AIPTW,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0003207186825472762,0.0017468795298982633,0.0029235580429835344,0.03906141377355393,0.038149350515440765,0.9766505313043568,0.03902365075656231,0.956,0.009172131704244116,0.028,0.016,0.1495427060877169,0.00028349047776310784,500.0,0.0,,0.0,500
n500,ate:AIPTW,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.001995430912064723,0.0020316084775329054,0.013270682509592268,0.04542814659428431,0.04381558758119404,0.9645030859944183,0.04542654306141537,0.934,0.01110351295761841,0.03,0.036,0.17175394724120152,0.0002541443161735091,500.0,0.0,,0.0,500
n500,ate:AIPTW,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.0006607280860639788,0.001392997506715797,0.024620883936695266,0.03114837117504242,0.030279534340733945,0.9721065082528415,0.031124221217698134,0.938,0.010784804124322337,0.04,0.022,0.11869359355296459,0.00035151866954665,500.0,0.0,,0.0,500
n500,ate:AIPTW,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.00148846974195589,0.0017845291422649452,0.029778049128082993,0.039903284699338105,0.038249784358690295,0.9585622999934329,0.03989114096775819,0.938,0.010784804124322337,0.032,0.03,0.1499363995189129,0.0002911615082718805,500.0,0.0,,0.0,500
n500,ate:AIPTW,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.001619999832731236,0.0020989894361680126,0.02014995644537308,0.04693483063325632,0.0441903399063161,0.9415255005736493,0.04691584987376185,0.924,0.01185107590052481,0.038,0.038,0.17322294936192525,0.0002549298069494855,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0015828772545437122,0.0008276469454144825,0.023709850120032128,0.018506748313168408,0.018154227278999877,0.9809517572615555,0.018555867914588627,0.946,0.010107818755794947,0.032,0.022,0.07116326326798866,0.00032759321318075164,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0019515106703830237,0.0012396847795126517,0.017789280845918503,0.027720194376621283,0.027665219786555346,0.9980168035866192,0.02776113743746336,0.952,0.009559916317625384,0.022,0.026,0.10844566881206669,0.0003235270280042107,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0025756734982070447,0.0016436315669406216,0.017129605959501082,0.03675271913643726,0.03630571557885755,0.9878375377908692,0.03680618063808527,0.95,0.00974679434480897,0.02,0.03,0.14231578993503105,0.000302667932666339,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.00047074077866152744,0.000771303618880637,0.017541337079732898,0.017246873231086948,0.017205864015418078,0.9976222231636195,0.01723604722253278,0.96,0.008763560920082661,0.012,0.028,0.0674457475862263,0.00033135391105943037,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0005610360779962413,0.0012151807981035162,0.011223983546515496,0.027172268695119097,0.02735405815703368,1.0066902570394218,0.027150879970057752,0.962,0.008550555537507495,0.016,0.022,0.10722593763760017,0.00031781483726840487,500.0,0.0,,0.0,500
n500,ate:GFORMULA,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.000877579024109404,0.0016358332585162,0.010915543789510505,0.0365783436589721,0.03649794819402953,0.9978021020937385,0.03655228336681244,0.948,0.009929350431926557,0.026,0.026,0.14306932793981314,0.0002997728801808503,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0010168694461239922,0.0014287172835480378,0.015231643571876301,0.03194708966642255,0.03046993444091545,0.9537624478182237,0.031931322060769644,0.942,0.010453324829928518,0.034,0.024,0.11943994823098171,0.0003388129825949398,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0004363424983845915,0.0017555150975036378,0.0039775438415869625,0.039254510935453055,0.03841659763299385,0.9786543436030319,0.039217664263695474,0.95,0.00974679434480897,0.032,0.018,0.15059029553846925,0.000296671853571793,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.002540108401961266,0.0020766105112761403,0.01689307905303332,0.04643442266004043,0.04434241835442709,0.95494712358266,0.04645745846739195,0.934,0.01110351295761841,0.032,0.034,0.17381908592416984,0.0002661136436638685,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.0006731192084519677,0.0013958381508864415,0.025082617579618566,0.031211889909696918,0.03033641437044287,0.9719505758290511,0.031187927104255535,0.938,0.010784804124322337,0.038,0.024,0.11891655917230269,0.0003579502298831128,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0014694078291610678,0.0017900373234006415,0.029396700042052144,0.040026451373856096,0.0384453401564922,0.9604983413943955,0.04001339444902044,0.942,0.010453324829928518,0.03,0.028,0.15070296416023238,0.00030398195482145485,500.0,0.0,,0.0,500
n500,ate:IPTW,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0014206085811469783,0.002101872501689587,0.01766987900719363,0.046999297938154584,0.04461384340329211,0.9492448900406673,0.04697376147815811,0.924,0.01185107590052481,0.036,0.04,0.17488305256472478,0.00027295323681117683,500.0,0.0,,0.0,500
n500,gcomp,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0016062753207337199,0.0008280772107371568,0.024060328744240796,0.018516369338267013,,,0.018567453837566708,,,,,,,0.0,0.0,,0.0,500
n500,gcomp,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.002029871236011499,0.001240908803718288,0.0185035880389898,0.02774756438992036,,,0.02779402547578198,,,,,,,0.0,0.0,,0.0,500
n500,gcomp,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0027801959795925118,0.0016464733816163055,0.018489789817599245,0.03681626404438012,,,0.03688435865341958,,,,,,,0.0,0.0,,0.0,500
n500,gcomp,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.00047025020514294567,0.0007716110507374791,0.01752305671006469,0.017253747616390425,,,0.017242898783322802,,,,,,,0.0,0.0,,0.0,500
n500,gcomp,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0005613106407150409,0.0012161765806253826,0.011229476397259248,0.027194535069216094,,,0.027173124991265587,,,,,,,0.0,0.0,,0.0,500
n500,gcomp,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0008869312370964866,0.0016382280716771402,0.011031868915322313,0.036631893309184836,,,0.03660598944462515,,,,,,,0.0,0.0,,0.0,500
n500,gcomp (concrete),rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0012317329599611472,0.0008231175349129393,0.01845007487772694,0.01840546761537389,,,0.018428263123500013,,,,,,,0.0,0.0,0.0,500.0,500
n500,gcomp (concrete),rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0013017636330715102,0.0012320115702364714,0.01186641672790197,0.02754861620115007,,,0.02755182372630638,,,,,,,0.0,0.0,0.0,500.0,500
n500,gcomp (concrete),rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0015025086139470558,0.0016315506705040716,0.009992485664656362,0.03648258207982465,,,0.03647703893897784,,,,,,,0.0,0.0,0.0,500.0,500
n500,gcomp (concrete),rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.00033168729745320166,0.000767336229386947,0.012359750744848214,0.017158159705075855,,,0.017144201819835496,,,,,,,0.0,0.0,0.0,500.0,500
n500,gcomp (concrete),rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.00027138855758358164,0.001208103346932386,0.0054293490641632155,0.027014012075858268,,,0.02698834908783667,,,,,,,0.0,0.0,0.0,500.0,500
